Year,Month,Return (%),Date,Cumulative Return (%)
2023,Jan,-10.48,2023-01-01,-10.480000000000004
2023,Feb,3.83,2023-02-01,-7.051383999999999
2023,Mar,-8.1,2023-03-01,-14.580221895999998
2023,Apr,11.81,2023-04-01,-4.492146101917598
2023,May,11.3,2023-05-01,6.300241388565709
2023,Jun,2.44,2023-06-01,8.89396727844671
2023,Jul,1.95,2023-07-01,11.017399640376425
2023,Aug,-1.88,2023-08-01,8.930272527137333
2023,Sep,9.04,2023-09-01,18.77756916359057
2023,Oct,-4.07,2023-10-01,13.943322098632422
2023,Nov,-4.95,2023-11-01,8.303127654750114
2023,Dec,2.89,2023-12-01,11.43308804397239
2024,Jan,-6.34,2024-01-01,4.368230261984536
2024,Feb,-5.35,2024-02-01,-1.215470057031638
2024,Mar,11.55,2024-03-01,10.194143151381212
2024,Apr,-4.44,2024-04-01,5.301523195459893
2024,May,-3.26,2024-05-01,1.8686935392878894
2024,Jun,6.24,2024-06-01,8.225300016139457
2024,Jul,-4.34,2024-07-01,3.5283219954390006
2024,Aug,5.78,2024-08-01,9.512259006775366
2024,Sep,6.98,2024-09-01,17.156214685448305
2024,Oct,-10.56,2024-10-01,4.784518414664959
2024,Nov,-4.56,2024-11-01,0.006344374956228194
2024,Dec,3.76,2024-12-01,3.7665829234545924
2025,Jan,15.57,2025-01-01,19.92303988463648
2025,Feb,8.18,2025-02-01,29.732744547199758
2025,Mar,4.87,2025-03-01,36.050729206648384
2025,Apr,-3.48,2025-04-01,31.31616383025701
2025,May,6.32,2025-05-01,39.61534538432926
2025,Jun,2.01,2025-06-01,42.42161382655428
2025,Jul,-5.9,2025-07-01,34.01873861078758
2025,Aug,-0.38,2025-08-01,33.509467404066584
2025,Sep,13.79,2025-09-01,51.92042295908735
2025,Oct,4.39,2025-10-01,58.58972952699128
2025,Nov,-0.51,2025-11-01,57.78092190640362
2025,Dec,-4.89,2025-12-01,50.06543482518049
2026,Jan,-5.77,2026-01-01,41.40665923576759
2026,Feb,7.1,2026-02-01,51.44653204150708
2026,Mar,-19.52,2026-03-01,21.884168987004898
2026,Apr,16.9,2026-04-01,42.482593545808726
2026,May,4.67,2026-05-01,49.13653066439798
