financial_year,property_type,no_of_cases,annual_value,median_annual_value,property_tax_collection,tax_per_case
2002,HDB,780522,,,33681,0.043151890657790556
2002,Private Residential,204943,,,287656,1.4035902665619222
2002,Commercial,63179,,,250178,3.959828424001646
2002,Industrial,23533,,,265690,11.290103259252964
2002,Others,4164,,,185015,44.43203650336215
2003,HDB,793949,,,32382,0.04078599507021232
2003,Private Residential,216809,,,269401,1.2425729559197265
2003,Commercial,64549,,,282671,4.3791693132349065
2003,Industrial,26443,,,324610,12.275838596225844
2003,Others,3901,,,186192,47.72930017944117
2004,HDB,800298,,,51325,0.06413236069564088
2004,Private Residential,229047,,,287125,1.2535636790702345
2004,Commercial,65433,,,500220,7.644766402274082
2004,Industrial,27183,,,441624,16.246330427105175
2004,Others,3633,,,228301,62.840902835122485
2005,HDB,808771,,,72694,0.08988205561277543
2005,Private Residential,237522,,,309703,1.3038918500181036
2005,Commercial,66169,,,512972,7.752452054587495
2005,Industrial,27613,,,459622,16.645130916597253
2005,Others,3588,,,251267,70.02982162764772
2006,HDB,814123,4568182.0,,82073,0.10081154813216185
2006,Private Residential,240652,5395685.0,,310829,1.2916119541911142
2006,Commercial,66186,5421594.0,,565779,8.548318375487263
2006,Industrial,28174,4592576.0,,474975,16.858628522751474
2006,Others,4122,3991085.0,,312575,75.83090732654051
2007,HDB,821546,5538635.0,,86083,0.1047817164224523
2007,Private Residential,240525,5461625.0,,376615,1.565803970481239
2007,Commercial,66360,7949568.0,,763990,11.512808921036768
2007,Industrial,29108,4619586.0,,473459,16.26559708671156
2007,Others,4206,5228859.0,,451938,107.45078459343794
2008,HDB,827168,5573563.0,,82164,0.09933169561685172
2008,Private Residential,245826,6493329.0,,445512,1.8123062654072393
2008,Commercial,67027,8760042.0,,984143,14.682784549509899
2008,Industrial,31042,6104261.0,,636185,20.494330262225372
2008,Others,4240,6451032.0,,460380,108.58018867924528
2009,HDB,829267,6855130.0,,98139,0.118344272713131
2009,Private Residential,248587,6785710.0,,418383,1.6830445678977581
2009,Commercial,75767,10224382.0,,630157,8.317037760502593
2009,Industrial,32297,7895683.0,,437322,13.540638449391585
2009,Others,3837,4558745.0,,137739,35.897576231430804
2010,HDB,836041,6864915.0,8100.0,112520,0.13458670089146346
2010,Private Residential,259342,8265247.0,24000.0,536166,2.067409058309105
2010,Commercial,76825,10372654.0,42000.0,896014,11.663052391799544
2010,Industrial,35591,8344341.0,36900.0,838790,23.5674749234357
2010,Others,2209,4706050.0,150000.0,188774,85.45676776822091
2011,HDB,847608,8119977.0,9600.0,104543,0.12333885475361252
2011,Private Residential,269748,9560314.0,27600.0,599055,2.2207949641887983
2011,Commercial,77586,12630138.0,45600.0,1229525,15.847253370453432
2011,Industrial,36709,8942726.0,39500.0,907783,24.72916723419325
2011,Others,2277,5497245.0,274000.0,830623,364.788317962231
2012,HDB,858641,,10500.0,144415,0.16819019823185707
2012,Private Residential,282185,,28800.0,617439,2.18806456757092
2012,Commercial,77768,,48000.0,1297599,16.685513321674726
2012,Industrial,39497,,42500.0,960293,24.31306175152543
2012,Others,2089,,284000.0,475979,227.85016754427957
2013,HDB,873254,,10800.0,150158,0.17195226131228714
2013,Private Residential,294634,,30000.0,719953,2.443550303087899
2013,Commercial,77928,,53200.0,1420893,18.233407761010163
2013,Industrial,41144,,43850.0,998659,24.27228757534513
2013,Others,2164,,293500.0,596153,275.4865988909427
2014,HDB,899624,,10440.0,140286,0.1559384809653811
2014,Private Residential,314788,,29400.0,837899,2.6617882511404503
2014,Commercial,78847,,55600.0,1452177,18.417656981242153
2014,Industrial,45118,,44400.0,1139602,25.258256128374484
2014,Others,1916,,306000.0,475327,248.08298538622128
2015,HDB,922365,,10080.0,134257,0.145557344435229
2015,Private Residential,339622,,27000.0,853202,2.5122106341756423
2015,Commercial,79221,,57600.0,1467894,18.52910213201045
2015,Industrial,48942,,41800.0,1265357,25.85421519349434
2015,Others,1527,,335000.0,440070,288.19253438113947
2016,HDB,943089,,9600.0,122876,0.13029099056398707
2016,Private Residential,367588,,25200.0,838729,2.281709413800233
2016,Commercial,77421,,60200.0,1569334,20.270133426331356
2016,Industrial,52209,,40000.0,1212276,23.219674768718036
2016,Others,1189,,280000.0,314253,264.30025231286794
2017,HDB,971917,,9600.0,117947,0.12135501282516922
2017,Private Residential,386642,,24000.0,830792,2.1487370746064833
2017,Commercial,79183,,60600.0,1547935,19.548829925615347
2017,Industrial,53036,,37200.0,1274141,24.024077984765064
2017,Others,1019,,285000.0,329847,323.6967615309127
2018,HDB,990093,,9600.0,120168,0.12137041671842948
2018,Private Residential,400023,,24000.0,830087,2.0750981818545435
2018,Commercial,80039,,61200.0,1635055,20.428228738489985
2018,Industrial,53817,,35800.0,1321801,24.56103090101641
2018,Others,1283,,231000.0,375977,293.0452065471551
2019,HDB,1002671,,9600.0,121330,0.12100679086160865
2019,Private Residential,402323,,24000.0,818724,2.034991785207408
2019,Commercial,81555,,62800.0,1715165,21.03077677640856
2019,Industrial,54590,,36000.0,1338633,24.521579043780914
2019,Others,1383,,229000.0,419589,303.39045553145337
