approval_year,Assistive Technology Device Providers,CPE Kindergarten,Childcare Centre,Early Intervention Programmes,Healthcare Institution,Insurance,Kindergarten,Optical Shop,Pharmacy,Special Education,Total_Approvals
2001,0,0,184,0,0,0,146,0,0,14,344
2002,0,0,20,0,0,0,18,0,0,0,38
2003,0,0,27,0,0,0,33,0,0,0,60
2004,0,0,29,0,0,0,33,0,0,0,62
2005,0,0,32,12,0,0,12,0,0,3,59
2006,0,0,23,9,0,0,9,0,0,0,41
2007,0,1,30,10,259,0,10,0,0,0,310
2008,0,0,26,2,54,1,4,0,0,0,87
2009,0,0,25,6,143,0,14,0,0,2,190
2010,0,1,120,8,56,0,3,0,0,1,189
2011,0,0,96,4,32,0,5,0,0,2,139
2012,6,1,75,10,73,0,9,356,102,0,632
2013,11,0,88,12,119,0,13,46,18,0,307
2014,2,0,116,7,195,0,19,29,9,0,377
2015,1,2,166,8,122,0,26,43,13,0,381
2016,0,2,118,8,102,0,19,57,10,0,316
2017,1,1,126,19,122,0,14,54,40,0,377
2018,0,0,125,9,112,0,42,49,19,1,357
2019,0,0,83,7,95,0,6,49,13,0,253
2020,0,0,40,0,21,0,7,9,5,0,82
