postal_sector,Assistive Technology Device Providers,CPE Kindergarten,Childcare Centre,Early Intervention Programmes,Healthcare Institution,Insurance,Kindergarten,Optical Shop,Pharmacy,Special Education
01,0.0,0.0,7.142857142857142,0.0,42.857142857142854,0.0,0.0,35.714285714285715,14.285714285714285,0.0
03,0.0,0.0,13.043478260869565,8.695652173913043,30.434782608695656,0.0,0.0,30.434782608695656,17.391304347826086,0.0
04,0.0,0.0,14.285714285714285,3.571428571428571,50.0,3.571428571428571,0.0,17.857142857142858,10.714285714285714,0.0
05,0.0,0.0,8.333333333333332,0.0,20.833333333333336,0.0,0.0,62.5,8.333333333333332,0.0
06,0.0,0.0,42.857142857142854,0.0,57.14285714285714,0.0,0.0,0.0,0.0,0.0
07,0.0,0.0,11.76470588235294,0.0,58.82352941176471,0.0,0.0,11.76470588235294,17.647058823529413,0.0
08,3.0303030303030303,0.0,27.27272727272727,6.0606060606060606,36.36363636363637,0.0,3.0303030303030303,15.151515151515152,6.0606060606060606,3.0303030303030303
09,0.0,0.0,23.076923076923077,0.0,30.76923076923077,0.0,5.128205128205128,25.64102564102564,15.384615384615385,0.0
10,0.0,0.0,45.45454545454545,0.0,13.636363636363635,0.0,27.27272727272727,13.636363636363635,0.0,0.0
11,0.0,0.0,57.14285714285714,0.0,17.857142857142858,0.0,14.285714285714285,3.571428571428571,7.142857142857142,0.0
12,0.9615384615384616,0.9615384615384616,33.65384615384615,0.9615384615384616,33.65384615384615,0.0,6.730769230769231,18.269230769230766,3.8461538461538463,0.9615384615384616
13,0.0,0.0,50.0,5.0,25.0,0.0,10.0,5.0,5.0,0.0
14,2.127659574468085,0.0,21.27659574468085,6.382978723404255,27.659574468085108,0.0,14.893617021276595,23.404255319148938,0.0,4.25531914893617
15,0.0,0.0,32.142857142857146,5.357142857142857,35.714285714285715,0.0,7.142857142857142,14.285714285714285,3.571428571428571,1.7857142857142856
16,0.0,0.0,25.352112676056336,5.633802816901409,43.66197183098591,0.0,4.225352112676056,9.859154929577464,11.267605633802818,0.0
17,0.0,0.0,4.3478260869565215,0.0,43.47826086956522,0.0,0.0,39.130434782608695,13.043478260869565,0.0
18,2.631578947368421,0.0,15.789473684210526,0.0,39.473684210526315,0.0,0.0,34.21052631578947,7.894736842105263,0.0
19,0.0,0.0,22.22222222222222,11.11111111111111,22.22222222222222,0.0,11.11111111111111,33.33333333333333,0.0,0.0
20,4.3478260869565215,0.0,26.08695652173913,0.0,34.78260869565217,0.0,8.695652173913043,17.391304347826086,8.695652173913043,0.0
21,0.0,0.0,15.789473684210526,0.0,47.368421052631575,0.0,21.052631578947366,10.526315789473683,5.263157894736842,0.0
22,0.0,0.0,14.516129032258066,8.064516129032258,53.2258064516129,0.0,1.6129032258064515,14.516129032258066,8.064516129032258,0.0
23,2.8368794326241136,0.7092198581560284,9.219858156028367,4.964539007092199,44.680851063829785,0.0,2.127659574468085,22.69503546099291,12.76595744680851,0.0
24,0.0,0.0,14.893617021276595,27.659574468085108,34.04255319148936,0.0,12.76595744680851,4.25531914893617,6.382978723404255,0.0
25,0.0,0.0,22.22222222222222,2.7777777777777777,61.111111111111114,0.0,8.333333333333332,2.7777777777777777,2.7777777777777777,0.0
26,0.0,0.0,33.33333333333333,14.285714285714285,23.809523809523807,0.0,19.047619047619047,9.523809523809524,0.0,0.0
27,0.0,0.0,27.27272727272727,0.0,50.90909090909091,0.0,3.6363636363636362,12.727272727272727,5.454545454545454,0.0
28,0.0,0.0,57.14285714285714,9.523809523809524,0.0,0.0,33.33333333333333,0.0,0.0,0.0
29,16.666666666666664,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664
30,0.0,0.0,13.88888888888889,11.11111111111111,44.44444444444444,0.0,9.722222222222223,12.5,8.333333333333332,0.0
31,0.9174311926605505,0.9174311926605505,23.853211009174313,0.9174311926605505,41.284403669724774,0.0,10.091743119266056,18.34862385321101,3.669724770642202,0.0
32,0.0,0.0,22.448979591836736,1.0204081632653061,60.204081632653065,0.0,5.1020408163265305,5.1020408163265305,6.122448979591836,0.0
33,3.225806451612903,0.0,48.38709677419355,0.0,25.806451612903224,0.0,6.451612903225806,16.129032258064516,0.0,0.0
34,0.0,0.0,59.09090909090909,0.0,22.727272727272727,0.0,4.545454545454546,4.545454545454546,9.090909090909092,0.0
35,0.0,4.0,44.0,4.0,8.0,0.0,12.0,28.000000000000004,0.0,0.0
36,0.0,0.0,50.0,0.0,37.5,0.0,12.5,0.0,0.0,0.0
37,0.0,0.0,40.0,0.0,50.0,0.0,10.0,0.0,0.0,0.0
38,0.0,0.0,37.2093023255814,2.3255813953488373,32.55813953488372,0.0,6.976744186046512,13.953488372093023,4.651162790697675,2.3255813953488373
39,2.941176470588235,0.0,38.23529411764706,2.941176470588235,23.52941176470588,0.0,11.76470588235294,8.823529411764707,8.823529411764707,2.941176470588235
40,1.7241379310344827,0.0,27.586206896551722,1.7241379310344827,27.586206896551722,0.0,5.172413793103448,29.310344827586203,6.896551724137931,0.0
41,0.0,0.0,46.666666666666664,6.666666666666667,16.666666666666664,0.0,20.0,6.666666666666667,0.0,3.3333333333333335
42,0.0,0.0,27.586206896551722,10.344827586206897,32.758620689655174,0.0,20.689655172413794,6.896551724137931,1.7241379310344827,0.0
43,0.0,2.5,42.5,5.0,32.5,0.0,5.0,10.0,2.5,0.0
44,1.9230769230769231,0.0,17.307692307692307,1.9230769230769231,40.38461538461539,0.0,7.6923076923076925,25.0,5.769230769230769,0.0
45,0.0,0.0,40.74074074074074,0.0,33.33333333333333,0.0,14.814814814814813,7.4074074074074066,0.0,3.7037037037037033
46,0.0,0.0,31.210191082802545,1.2738853503184715,36.94267515923567,0.0,8.9171974522293,17.197452229299362,3.821656050955414,0.6369426751592357
47,0.0,0.0,41.37931034482759,0.0,31.03448275862069,0.0,17.24137931034483,10.344827586206897,0.0,0.0
48,0.0,0.0,60.0,0.0,24.0,0.0,8.0,4.0,4.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
50,0.0,0.0,75.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
51,0.0,0.0,30.8411214953271,0.9345794392523363,30.8411214953271,0.0,14.953271028037381,15.887850467289718,5.607476635514018,0.9345794392523363
52,0.0,0.0,30.620155038759687,2.7131782945736433,32.55813953488372,0.0,10.852713178294573,18.992248062015506,3.875968992248062,0.3875968992248062
53,0.4761904761904762,0.0,32.857142857142854,1.9047619047619049,31.428571428571427,0.0,10.952380952380953,18.095238095238095,4.285714285714286,0.0
54,0.0,0.0,48.484848484848484,1.8181818181818181,26.060606060606062,0.0,12.121212121212121,9.090909090909092,1.8181818181818181,0.6060606060606061
55,0.0,1.1235955056179776,35.95505617977528,2.247191011235955,29.213483146067414,0.0,8.98876404494382,17.97752808988764,4.49438202247191,0.0
56,0.5714285714285714,0.0,34.285714285714285,1.7142857142857144,34.85714285714286,0.0,6.2857142857142865,18.285714285714285,2.857142857142857,1.1428571428571428
57,0.0,0.0,32.231404958677686,4.132231404958678,34.710743801652896,0.0,7.43801652892562,14.87603305785124,6.6115702479338845,0.0
58,0.0,0.0,29.629629629629626,18.51851851851852,18.51851851851852,0.0,7.4074074074074066,18.51851851851852,7.4074074074074066,0.0
59,0.0,0.0,52.77777777777778,0.0,36.11111111111111,0.0,8.333333333333332,2.7777777777777777,0.0,0.0
60,0.0,0.0,36.36363636363637,5.05050505050505,25.252525252525253,0.0,7.07070707070707,18.181818181818183,8.080808080808081,0.0
61,0.0,0.0,61.53846153846154,0.0,15.384615384615385,0.0,19.230769230769234,3.8461538461538463,0.0,0.0
62,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0
63,0.0,0.0,75.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.5263157894736842,34.73684210526316,2.1052631578947367,29.47368421052631,0.0,12.631578947368421,16.842105263157894,3.1578947368421053,0.5263157894736842
65,0.8620689655172413,0.0,34.48275862068966,0.0,34.48275862068966,0.0,10.344827586206897,15.517241379310345,3.4482758620689653,0.8620689655172413
66,0.0,0.0,78.57142857142857,0.0,14.285714285714285,0.0,0.0,7.142857142857142,0.0,0.0
67,0.0,0.0,38.613861386138616,0.0,30.693069306930692,0.0,9.900990099009901,15.841584158415841,4.9504950495049505,0.0
68,0.0,0.0,41.843971631205676,2.8368794326241136,23.404255319148938,0.0,13.47517730496454,14.184397163120568,3.546099290780142,0.7092198581560284
73,0.0,0.0,44.67005076142132,2.030456852791878,26.903553299492383,0.0,9.137055837563452,13.19796954314721,3.0456852791878175,1.015228426395939
75,0.0,0.0,56.98924731182796,1.0752688172043012,23.655913978494624,0.0,10.75268817204301,6.451612903225806,1.0752688172043012,0.0
76,1.0050251256281406,0.5025125628140703,36.18090452261307,1.507537688442211,29.64824120603015,0.0,10.050251256281408,16.08040201005025,4.522613065326634,0.5025125628140703
78,8.333333333333332,0.0,75.0,0.0,8.333333333333332,0.0,8.333333333333332,0.0,0.0,0.0
79,0.0,0.0,26.08695652173913,4.3478260869565215,28.26086956521739,0.0,21.73913043478261,13.043478260869565,4.3478260869565215,2.1739130434782608
80,0.0,0.0,75.0,0.0,12.5,0.0,6.25,0.0,6.25,0.0
81,0.0,0.0,8.695652173913043,0.0,26.08695652173913,0.0,0.0,8.695652173913043,56.52173913043478,0.0
82,0.0,0.0,42.06896551724138,1.3793103448275863,30.344827586206897,0.0,16.551724137931036,6.206896551724138,3.4482758620689653,0.0
