postal_sector,Assistive Technology Device Providers,CPE Kindergarten,Childcare Centre,Early Intervention Programmes,Healthcare Institution,Insurance,Kindergarten,Optical Shop,Pharmacy,Special Education,Total_Institutions
01,0,0,1,0,6,0,0,5,2,0,14
03,0,0,3,2,7,0,0,7,4,0,23
04,0,0,4,1,14,1,0,5,3,0,28
05,0,0,2,0,5,0,0,15,2,0,24
06,0,0,9,0,12,0,0,0,0,0,21
07,0,0,2,0,10,0,0,2,3,0,17
08,1,0,9,2,12,0,1,5,2,1,33
09,0,0,9,0,12,0,2,10,6,0,39
10,0,0,10,0,3,0,6,3,0,0,22
11,0,0,16,0,5,0,4,1,2,0,28
12,1,1,35,1,35,0,7,19,4,1,104
13,0,0,10,1,5,0,2,1,1,0,20
14,1,0,10,3,13,0,7,11,0,2,47
15,0,0,18,3,20,0,4,8,2,1,56
16,0,0,18,4,31,0,3,7,8,0,71
17,0,0,1,0,10,0,0,9,3,0,23
18,1,0,6,0,15,0,0,13,3,0,38
19,0,0,2,1,2,0,1,3,0,0,9
20,1,0,6,0,8,0,2,4,2,0,23
21,0,0,3,0,9,0,4,2,1,0,19
22,0,0,9,5,33,0,1,9,5,0,62
23,4,1,13,7,63,0,3,32,18,0,141
24,0,0,7,13,16,0,6,2,3,0,47
25,0,0,8,1,22,0,3,1,1,0,36
26,0,0,7,3,5,0,4,2,0,0,21
27,0,0,15,0,28,0,2,7,3,0,55
28,0,0,12,2,0,0,7,0,0,0,21
29,1,0,4,0,0,0,0,0,0,1,6
30,0,0,10,8,32,0,7,9,6,0,72
31,1,1,26,1,45,0,11,20,4,0,109
32,0,0,22,1,59,0,5,5,6,0,98
33,1,0,15,0,8,0,2,5,0,0,31
34,0,0,13,0,5,0,1,1,2,0,22
35,0,1,11,1,2,0,3,7,0,0,25
36,0,0,4,0,3,0,1,0,0,0,8
37,0,0,4,0,5,0,1,0,0,0,10
38,0,0,16,1,14,0,3,6,2,1,43
39,1,0,13,1,8,0,4,3,3,1,34
40,1,0,16,1,16,0,3,17,4,0,58
41,0,0,14,2,5,0,6,2,0,1,30
42,0,0,16,6,19,0,12,4,1,0,58
43,0,1,17,2,13,0,2,4,1,0,40
44,1,0,9,1,21,0,4,13,3,0,52
45,0,0,11,0,9,0,4,2,0,1,27
46,0,0,49,2,58,0,14,27,6,1,157
47,0,0,12,0,9,0,5,3,0,0,29
48,0,0,15,0,6,0,2,1,1,0,25
49,0,0,0,0,0,0,0,1,0,0,1
50,0,0,6,0,0,0,2,0,0,0,8
51,0,0,33,1,33,0,16,17,6,1,107
52,0,0,79,7,84,0,28,49,10,1,258
53,1,0,69,4,66,0,23,38,9,0,210
54,0,0,80,3,43,0,20,15,3,1,165
55,0,1,32,2,26,0,8,16,4,0,89
56,1,0,60,3,61,0,11,32,5,2,175
57,0,0,39,5,42,0,9,18,8,0,121
58,0,0,8,5,5,0,2,5,2,0,27
59,0,0,19,0,13,0,3,1,0,0,36
60,0,0,36,5,25,0,7,18,8,0,99
61,0,0,16,0,4,0,5,1,0,0,26
62,0,0,0,0,1,0,0,1,0,0,2
63,0,0,6,0,2,0,0,0,0,0,8
64,0,1,66,4,56,0,24,32,6,1,190
65,1,0,40,0,40,0,12,18,4,1,116
66,0,0,11,0,2,0,0,1,0,0,14
67,0,0,39,0,31,0,10,16,5,0,101
68,0,0,59,4,33,0,19,20,5,1,141
73,0,0,88,4,53,0,18,26,6,2,197
75,0,0,53,1,22,0,10,6,1,0,93
76,2,1,72,3,59,0,20,32,9,1,199
78,1,0,9,0,1,0,1,0,0,0,12
79,0,0,12,2,13,0,10,6,2,1,46
80,0,0,12,0,2,0,1,0,1,0,16
81,0,0,2,0,6,0,0,2,13,0,23
82,0,0,61,2,44,0,24,9,5,0,145
