yr,rss_payout,other_wdl,cpf_life
2006,240300000,2485400000,
2007,218900000,2523600000,
2008,229700000,2138100000,
2009,265700000,1805900000,
2010,298200000,1780900000,43700000.0
2011,344000000,1970200000,85600000.0
2012,370200000,2064300000,100500000.0
2013,398400000,2803000000,120400000.0
2014,457100000,2932900000,159300000.0
2015,501500000,3707000000,183500000.0
2016,566800000,3332600000,213000000.0
2017,662000000,4064200000,273000000.0
2018,781900000,5534500000,322600000.0
2019,953200000,5208800000,377500000.0
2020,1375000000,4599300000,465800000.0
