yr,interest_amt_base,interest_amt_extra,interest_total,return_base,return_extra,return_total
2008,4644100000,811000000,5455100000,,,
2009,5215300000,877300000,6092600000,0.12299476755453154,0.08175092478421697,0.11686311891624346
2010,5772300000,937500000,6709800000,0.10680114279140218,0.06861962840533464,0.10130322030003613
2011,6471500000,1001200000,7472700000,0.12113022538676099,0.0679466666666666,0.11369936510775291
2012,7199600000,1091000000,8290600000,0.11250869195704238,0.08969236915701151,0.10945173765840988
2013,8028800000,1115400000,9144200000,0.11517306517028714,0.022364802933088956,0.10295997877113838
2014,8814000000,1157900000,9971900000,0.0977979274611398,0.0381029227183074,0.09051639290479208
2015,9634700000,1199800000,10834500000,0.09311322895393692,0.0361861991536403,0.08650307363691967
2016,10571300000,1476900000,12048200000,0.09721112229752871,0.23095515919319887,0.11202178226960169
2017,11647900000,1548300000,13196200000,0.10184177915677362,0.048344505382896585,0.09528394282963437
2018,12734700000,1615500000,14350200000,0.09330437246198886,0.04340244138732796,0.08744941725648303
2019,13892900000,1681500000,15574400000,0.0909483537107274,0.04085422469823574,0.08530891555518383
2020,15116200000,1748600000,16864800000,0.08805217053315006,0.03990484686291995,0.0828539141154716
